"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"09.10.2019","11.809,29","11.568,60","11.839,91","11.567,96","","2,14%"
"08.10.2019","11.562,28","11.593,05","11.725,72","11.543,42","","-0,26%"
"07.10.2019","11.592,16","11.872,40","11.881,17","11.592,16","","-2,36%"
"04.10.2019","11.872,05","11.789,33","11.875,08","11.674,77","","0,70%"
"03.10.2019","11.789,33","11.752,34","11.830,04","11.648,91","","0,31%"
"02.10.2019","11.752,34","12.088,19","12.088,19","11.717,79","","-2,78%"
"01.10.2019","12.088,93","12.246,31","12.306,86","12.070,43","","-1,28%"
"30.09.2019","12.245,31","12.376,86","12.422,29","12.244,71","","-1,06%"
"27.09.2019","12.376,86","12.408,19","12.421,65","12.269,17","","-0,25%"
"26.09.2019","12.408,19","12.210,27","12.411,82","12.210,27","","1,62%"
"25.09.2019","12.209,88","12.157,37","12.209,88","12.031,93","","0,43%"
"24.09.2019","12.157,98","12.305,34","12.353,71","12.114,63","","-1,20%"
"23.09.2019","12.305,30","12.351,53","12.351,53","12.171,44","","-0,37%"
"20.09.2019","12.351,27","12.242,82","12.383,34","12.235,07","","0,89%"
"19.09.2019","12.242,70","12.378,19","12.537,24","12.228,36","","-1,09%"
"18.09.2019","12.377,92","12.290,52","12.377,92","12.232,81","","0,71%"
"17.09.2019","12.290,52","12.092,29","12.290,52","12.021,93","","1,63%"
"16.09.2019","12.093,62","12.156,01","12.156,01","12.012,83","","-0,51%"
"13.09.2019","12.155,52","12.256,96","12.312,39","12.136,44","","-0,82%"
"12.09.2019","12.256,25","12.237,75","12.355,59","12.188,79","","0,15%"
"11.09.2019","12.237,60","12.207,65","12.340,90","12.207,65","","0,25%"
"10.09.2019","12.207,49","12.326,97","12.374,17","12.128,44","","-0,97%"
"09.09.2019","12.327,26","12.313,01","12.531,66","12.290,88","","0,12%"
"06.09.2019","12.313,01","12.032,46","12.313,01","12.032,46","","2,34%"
"05.09.2019","12.031,67","11.794,98","12.200,57","11.794,57","","2,01%"
"04.09.2019","11.794,53","11.646,82","11.798,99","11.646,82","","1,27%"
"03.09.2019","11.646,67","11.832,01","11.944,61","11.614,40","","-1,57%"
"02.09.2019","11.832,01","11.993,92","12.026,67","11.825,07","","-1,36%"
"30.08.2019","11.994,70","11.850,61","12.030,46","11.850,61","","1,22%"
"29.08.2019","11.850,56","11.669,47","11.906,25","11.649,49","","1,56%"
"28.08.2019","11.668,40","11.599,35","11.724,21","11.471,80","","0,60%"
"27.08.2019","11.598,29","11.460,09","11.679,57","11.401,77","","1,21%"
"26.08.2019","11.459,95","11.640,81","11.731,20","11.369,39","","-1,51%"
"23.08.2019","11.635,71","11.920,04","11.924,93","11.559,06","","-2,39%"
"22.08.2019","11.920,67","12.056,17","12.123,95","11.920,35","","-1,12%"
"21.08.2019","12.056,18","11.861,45","12.093,92","11.861,45","","1,66%"
"20.08.2019","11.859,66","11.893,59","11.940,10","11.675,27","","-0,28%"
"19.08.2019","11.893,44","11.953,88","12.111,37","11.838,74","","-0,49%"
"16.08.2019","11.951,65","11.881,54","12.037,65","11.877,87","","0,72%"
"15.08.2019","11.866,20","11.941,84","12.023,71","11.760,09","","-0,61%"
"14.08.2019","11.938,56","12.245,53","12.245,53","11.892,10","","-2,51%"
"13.08.2019","12.246,33","12.020,64","12.304,79","11.989,96","","1,88%"
"12.08.2019","12.020,40","12.368,74","12.368,74","11.983,70","","-2,83%"
"09.08.2019","12.369,90","12.397,91","12.432,08","12.259,04","","-0,22%"
"08.08.2019","12.397,14","12.221,41","12.444,13","12.220,97","","1,48%"
"07.08.2019","12.216,34","11.961,57","12.216,34","11.819,25","","2,13%"
"06.08.2019","11.961,50","11.646,03","11.966,94","11.646,03","","2,71%"
"05.08.2019","11.645,73","11.892,77","11.892,77","11.585,68","","-2,08%"
"02.08.2019","11.893,01","11.891,69","11.981,07","11.784,35","","0,02%"
"01.08.2019","11.890,45","11.854,86","12.148,09","11.854,86","","0,30%"
"31.07.2019","11.854,86","12.092,17","12.108,07","11.793,44","","-1,96%"
"30.07.2019","12.091,46","12.223,47","12.225,02","12.000,78","","-1,08%"
"29.07.2019","12.223,65","12.173,95","12.258,29","12.132,57","","0,42%"
"26.07.2019","12.172,77","12.147,80","12.239,29","12.086,43","","0,21%"
"25.07.2019","12.146,86","12.526,14","12.543,89","12.126,39","","-3,03%"
"24.07.2019","12.526,14","12.349,70","12.526,14","12.349,70","","1,43%"
"23.07.2019","12.349,70","12.367,55","12.433,48","12.305,05","","-0,14%"
"22.07.2019","12.367,32","12.205,31","12.413,54","12.205,29","","1,33%"
"19.07.2019","12.205,26","12.429,67","12.431,37","12.202,98","","-1,80%"
"18.07.2019","12.429,57","12.265,51","12.440,64","12.265,51","","1,34%"
"17.07.2019","12.265,46","12.256,46","12.364,19","12.243,80","","0,09%"
"16.07.2019","12.254,11","12.183,99","12.266,51","12.181,15","","0,58%"
"15.07.2019","12.183,75","12.242,08","12.318,19","12.130,83","","-0,36%"
"12.07.2019","12.228,08","12.476,88","12.545,06","12.228,08","","-1,99%"
"11.07.2019","12.476,88","12.618,07","12.626,99","12.408,27","","-1,11%"
"10.07.2019","12.617,31","12.530,95","12.796,73","12.530,95","","0,70%"
"08.07.2019","12.529,73","12.541,60","12.554,62","12.476,07","","-0,09%"
"05.07.2019","12.541,60","12.412,88","12.543,74","12.309,71","","1,04%"
"04.07.2019","12.412,73","12.168,43","12.463,52","12.168,43","","2,01%"
"03.07.2019","12.168,43","11.970,97","12.183,28","11.919,12","","1,65%"
"02.07.2019","11.970,93","12.048,82","12.110,49","11.912,25","","-0,65%"
"01.07.2019","12.048,82","12.005,60","12.156,95","12.002,44","","0,36%"
"28.06.2019","12.005,39","12.014,00","12.104,39","12.001,25","","-0,07%"
"27.06.2019","12.013,71","11.996,62","12.054,78","11.813,24","","0,14%"
"26.06.2019","11.996,62","11.847,28","12.030,28","11.847,28","","1,26%"
"25.06.2019","11.846,84","12.057,82","12.058,79","11.810,37","","-1,75%"
"24.06.2019","12.058,10","12.032,95","12.152,08","11.980,07","","0,22%"
"21.06.2019","12.031,62","11.730,05","12.031,62","11.730,05","","2,57%"
"19.06.2019","11.730,05","11.639,45","11.746,33","11.531,04","","0,78%"
"18.06.2019","11.639,52","11.319,49","11.639,52","11.319,49","","2,83%"
"17.06.2019","11.319,15","11.332,85","11.405,84","11.284,89","","-0,12%"
"14.06.2019","11.332,90","11.497,21","11.497,80","11.256,22","","-1,43%"
"13.06.2019","11.497,50","11.612,32","11.635,68","11.453,92","","-0,97%"
"12.06.2019","11.610,66","11.692,65","11.747,40","11.554,10","","-0,70%"
"11.06.2019","11.692,66","11.602,64","11.707,75","11.586,62","","0,78%"
"10.06.2019","11.601,60","11.709,88","11.709,88","11.467,44","","-0,92%"
"07.06.2019","11.709,47","11.678,99","11.798,91","11.667,83","","0,26%"
"06.06.2019","11.678,99","11.461,42","11.693,13","11.461,42","","1,90%"
"05.06.2019","11.461,40","11.664,75","11.690,95","11.415,76","","-1,74%"
"04.06.2019","11.664,45","11.640,98","11.719,36","11.588,90","","0,21%"
"03.06.2019","11.640,45","11.629,72","11.718,08","11.562,57","","0,10%"
"31.05.2019","11.628,26","11.648,16","11.753,46","11.580,98","","-0,17%"
"30.05.2019","11.648,16","11.479,25","11.659,55","11.455,40","","1,47%"
"29.05.2019","11.479,25","11.348,74","11.518,84","11.305,13","","1,15%"
"28.05.2019","11.348,83","11.090,80","11.363,08","11.090,80","","2,33%"
"27.05.2019","11.090,80","10.997,79","11.178,47","10.996,93","","0,99%"
"24.05.2019","10.981,82","11.063,54","11.135,99","10.939,82","","-0,58%"
"23.05.2019","11.045,76","11.041,02","11.093,40","10.924,71","","0,03%"
"22.05.2019","11.042,75","11.098,83","11.170,14","10.966,54","","-0,51%"
"21.05.2019","11.098,83","10.682,48","11.115,06","10.682,48","","3,90%"
"20.05.2019","10.682,45","10.374,09","10.703,53","10.367,88","","2,95%"
"17.05.2019","10.376,52","10.402,84","10.567,73","10.280,80","","-0,25%"
"16.05.2019","10.402,39","10.573,56","10.574,97","10.337,58","","-1,62%"
"15.05.2019","10.573,83","10.645,42","10.645,42","10.405,47","","-0,68%"
"14.05.2019","10.645,74","10.647,91","10.740,33","10.602,32","","-0,02%"
"13.05.2019","10.647,57","10.899,84","10.899,84","10.624,50","","-2,31%"
"10.05.2019","10.899,86","10.989,94","11.007,75","10.800,28","","-0,82%"
"09.05.2019","10.989,94","11.064,47","11.065,26","10.883,65","","-0,68%"
"08.05.2019","11.065,74","10.898,11","11.170,13","10.898,11","","1,54%"
"07.05.2019","10.897,68","10.948,80","10.949,03","10.690,33","","-0,47%"
"06.05.2019","10.948,64","11.129,32","11.129,32","10.944,76","","-1,66%"
"03.05.2019","11.133,73","11.139,27","11.182,20","11.132,77","","-0,05%"
"02.05.2019","11.139,27","11.138,51","11.182,66","11.076,98","","-0,03%"
"30.04.2019","11.142,39","11.115,46","11.185,13","11.047,89","","0,28%"
"29.04.2019","11.111,76","11.159,70","11.257,55","11.054,89","","-0,39%"
"26.04.2019","11.154,86","11.202,72","11.213,85","11.095,12","","-0,43%"
"25.04.2019","11.202,72","11.017,12","11.202,72","10.843,41","","1,68%"
"24.04.2019","11.017,17","11.046,95","11.053,08","10.886,22","","-0,27%"
"23.04.2019","11.046,90","10.825,60","11.083,01","10.825,60","","2,10%"
"22.04.2019","10.820,02","10.817,85","10.874,78","10.689,90","","0,02%"
"18.04.2019","10.817,64","10.677,35","10.900,52","10.641,60","","1,34%"
"17.04.2019","10.674,99","10.804,01","10.890,08","10.542,98","","-1,19%"
"16.04.2019","10.804,01","10.733,58","10.900,19","10.694,42","","0,66%"
"15.04.2019","10.733,58","10.724,03","10.836,33","10.649,99","","0,09%"
"12.04.2019","10.723,80","10.864,97","10.964,33","10.663,36","","-1,31%"
"11.04.2019","10.865,83","11.034,18","11.042,06","10.792,96","","-1,53%"
"10.04.2019","11.034,18","11.054,79","11.119,03","10.980,56","","-0,19%"
"09.04.2019","11.054,65","11.192,92","11.192,92","10.949,17","","-1,25%"
"08.04.2019","11.194,84","11.194,17","11.218,85","11.105,49","","0,01%"
"05.04.2019","11.193,95","11.051,93","11.228,70","11.015,48","","1,30%"
"04.04.2019","11.050,45","10.850,36","11.091,95","10.828,23","","1,84%"
"03.04.2019","10.850,36","10.975,93","11.110,34","10.801,42","","-1,14%"
"02.04.2019","10.975,88","11.065,56","11.125,49","10.919,37","","-0,77%"
"01.04.2019","11.060,88","11.004,60","11.169,77","11.004,60","","0,51%"
"29.03.2019","11.004,44","10.896,10","11.026,23","10.888,47","","1,04%"
"28.03.2019","10.891,01","10.513,01","10.954,85","10.467,22","","3,59%"
"27.03.2019","10.513,31","10.965,71","10.965,71","10.513,31","","-4,12%"
"26.03.2019","10.965,57","10.838,02","11.003,57","10.813,15","","1,18%"
"25.03.2019","10.837,78","10.812,32","10.951,27","10.724,23","","0,24%"
"22.03.2019","10.812,32","11.165,93","11.165,93","10.738,35","","-3,18%"
"21.03.2019","11.167,42","11.383,12","11.389,57","11.013,21","","-1,89%"
"20.03.2019","11.382,42","11.622,71","11.649,21","11.379,66","","-2,07%"
"19.03.2019","11.623,60","11.760,64","11.768,19","11.623,60","","-1,17%"
"18.03.2019","11.760,73","11.704,24","11.789,20","11.698,96","","0,48%"
"15.03.2019","11.704,49","11.629,48","11.719,43","11.626,01","","0,64%"
"14.03.2019","11.629,63","11.730,59","11.735,91","11.518,76","","-0,85%"
"13.03.2019","11.729,70","11.624,79","11.782,29","11.528,89","","0,90%"
"12.03.2019","11.624,79","11.613,56","11.624,79","11.493,04","","0,10%"
"11.03.2019","11.612,77","11.244,67","11.612,77","11.244,63","","3,31%"
"08.03.2019","11.240,35","11.040,90","11.250,55","10.930,02","","1,81%"
"07.03.2019","11.040,93","11.014,31","11.083,82","10.960,45","","0,24%"
"06.03.2019","11.014,33","11.124,63","11.209,00","10.992,91","","-0,96%"
"01.03.2019","11.121,63","11.229,68","11.299,18","11.111,10","","-0,96%"
"28.02.2019","11.229,68","11.480,66","11.508,31","11.229,68","","-2,18%"
"27.02.2019","11.480,41","11.614,18","11.615,85","11.460,44","","-1,15%"
"26.02.2019","11.613,83","11.535,76","11.627,52","11.532,61","","0,69%"
"25.02.2019","11.534,75","11.622,64","11.693,18","11.517,05","","-0,76%"
"22.02.2019","11.622,64","11.539,93","11.641,94","11.539,93","","0,72%"
"21.02.2019","11.539,88","11.447,88","11.553,49","11.391,75","","0,82%"
"20.02.2019","11.446,41","11.604,33","11.729,81","11.445,84","","-1,36%"
"19.02.2019","11.603,89","11.436,26","11.701,35","11.436,26","","1,47%"
"18.02.2019","11.435,41","11.601,54","11.601,58","11.403,03","","-1,43%"
"15.02.2019","11.601,54","11.679,60","11.701,69","11.515,08","","-0,66%"
"14.02.2019","11.679,10","11.309,86","11.679,10","11.201,50","","3,27%"
"13.02.2019","11.308,94","11.498,81","11.551,56","11.282,57","","-1,65%"
"12.02.2019","11.498,32","11.232,32","11.565,21","11.232,32","","2,38%"
"11.02.2019","11.231,40","11.371,06","11.393,86","11.145,47","","-1,23%"
"08.02.2019","11.370,86","11.185,89","11.438,07","11.142,32","","1,60%"
"07.02.2019","11.192,25","11.181,96","11.351,75","11.033,54","","0,09%"
"06.02.2019","11.181,70","11.674,70","11.674,70","11.181,70","","-4,22%"
"05.02.2019","11.674,70","11.757,37","11.757,37","11.529,95","","-0,70%"
"04.02.2019","11.757,37","11.554,32","11.760,17","11.410,03","","1,76%"
"01.02.2019","11.554,32","11.522,26","11.592,67","11.426,06","","0,28%"
"31.01.2019","11.521,56","11.292,98","11.647,44","11.292,98","","2,02%"
"30.01.2019","11.292,93","11.228,58","11.316,92","11.111,95","","0,57%"
"29.01.2019","11.228,86","11.285,98","11.379,12","11.228,86","","-0,51%"
"28.01.2019","11.285,93","11.179,44","11.342,67","11.062,46","","0,95%"
"24.01.2019","11.179,97","11.086,09","11.179,97","11.060,54","","0,85%"
"23.01.2019","11.086,09","10.895,72","11.092,57","10.890,07","","1,78%"
"22.01.2019","10.892,44","10.954,75","10.999,75","10.843,86","","-0,57%"
"21.01.2019","10.954,62","11.017,28","11.017,78","10.860,92","","-0,57%"
"18.01.2019","11.017,28","10.921,31","11.062,58","10.916,90","","0,88%"
"17.01.2019","10.921,31","10.871,35","10.945,67","10.788,13","","0,46%"
"16.01.2019","10.871,35","10.847,92","10.875,80","10.779,56","","0,23%"
"15.01.2019","10.846,77","10.936,21","10.938,41","10.748,49","","-0,82%"
"14.01.2019","10.936,21","10.789,71","10.938,65","10.763,76","","1,36%"
"11.01.2019","10.789,78","10.794,91","10.806,27","10.713,84","","-0,05%"
"10.01.2019","10.794,91","10.740,86","10.857,96","10.684,60","","0,45%"
"09.01.2019","10.746,32","10.649,49","10.748,78","10.649,08","","0,92%"
"08.01.2019","10.648,66","10.611,79","10.667,06","10.444,01","","0,35%"
"07.01.2019","10.611,79","10.595,91","10.712,08","10.540,33","","0,17%"
"04.01.2019","10.594,19","10.708,01","10.784,71","10.539,94","","-1,06%"
"03.01.2019","10.708,01","10.564,67","10.708,01","10.481,98","","1,36%"
"02.01.2019","10.564,18","10.126,79","10.620,45","10.117,43","","4,32%"
